"mdate","MktRF","SMB","HML","RF","WML"
199106,-0.0741,0.0061,-0.0069,0.0042,0.0054
199107,0.053,-0.0323,-0.0035,0.0049,0.0506
199108,0.0142,-0.0093,-8e-04,0.0046,0.0377
199109,0.0302,0.0173,-5e-04,0.0046,0.0423
199110,-0.0262,-0.0078,-0.013,0.0042,0.0307
199111,-0.0227,0.0055,-0.0181,0.0039,0.0042
199112,0.063,-0.0387,-0.021,0.0038,0.0193
199201,-0.0052,-0.0103,0.0129,0.0034,0.0075
199202,-0.0044,-0.0033,0.0018,0.0028,0.0152
199203,-0.0374,0.0033,0.0029,0.0034,0.0057
199204,0.0502,-0.0125,-7e-04,0.0032,0.0188
199205,0.0509,0.0019,0.014,0.0028,0.0107
199206,-0.0117,0.0049,-0.0085,0.0032,0.0342
199207,-0.041,-0.0123,-0.0137,0.0031,0.0263
199208,-0.008,-0.0139,-0.0051,0.0026,0.0393
199209,-0.0299,-0.0351,-0.0182,0.0026,0.0413
199210,-0.0771,-0.0252,0.012,0.0023,-0.0321
199211,-0.0065,-0.0267,-0.0013,0.0023,-0.0031
199212,0.0122,2e-04,-0.0117,0.0028,0.0117
199301,0.0063,0.0328,0.0295,0.0023,-0.0136
199302,0.0111,-0.0079,0.0174,0.0022,-0.0136
199303,0.0543,0.0143,0.0086,0.0025,0.0289
199304,0.0192,0.0346,0.0193,0.0024,-0.0198
199305,0.0091,0.0029,0.015,0.0022,0.0102
199306,-0.0323,-0.0158,0.0153,0.0025,0.0183
199307,0.0103,-0.011,0.03,0.0024,0.0042
199308,0.0861,0.0053,0.0231,0.0025,-0.0131
199309,-0.0064,0.0101,4e-04,0.0026,0.0191
199310,0.0246,-0.0196,0.0076,0.0022,0.0176
199311,-0.0231,0.0086,-0.0159,0.0025,-0.0083
199312,0.0716,-0.0261,0.0261,0.0023,0.0109
199401,0.0589,0.0553,0.0434,0.0025,0.0225
199402,-0.0346,0.04,0.0101,0.0021,-0.0093
199403,-0.028,0.0097,0.0179,0.0027,-0.025
199404,0.0379,-0.0074,0.0148,0.0027,-2e-04
199405,-0.04,0.0189,0.0053,0.0032,-8e-04
199406,-0.0116,-0.0022,-0.01,0.0031,-0.0102
199407,0.0466,-0.0305,0.0106,0.0028,0.003
199408,0.019,-0.0046,-0.0262,0.0037,-0.0055
199409,-0.0358,0.0264,0.0031,0.0037,0.0115
199410,0.0359,-0.0302,-0.0033,0.0038,0.0028
199411,-0.0454,-0.0041,0.0045,0.0037,-0.0118
199412,2e-04,0.0029,-0.0058,0.0044,0.0088
199501,-0.0155,0.0151,0.0096,0.0042,0.022
199502,0.0197,-0.009,-0.0076,0.004,0.0161
199503,0.0345,-0.0161,-0.0247,0.0046,-0.0023
199504,0.0256,-0.0167,0.004,0.0045,0
199505,0.0176,-0.0028,0.0046,0.0054,-0.0061
199506,0.01,-6e-04,-0.0063,0.0047,0.034
199507,0.0399,-0.014,-0.0103,0.0045,0.0097
199508,-0.0405,0.0121,-0.0229,0.0047,0.0189
199509,0.0237,-0.0048,-0.0193,0.0043,0.0582
199510,-0.0071,-0.0089,-0.0029,0.0047,0.0458
199511,-0.0032,-0.0327,0.0078,0.0042,0.0215
199512,0.0184,-0.0118,0.0103,0.0049,-0.0034
199601,0.0044,9e-04,0.0012,0.0043,-0.0073
199602,0.0188,0.0141,0.0021,0.0039,0.0176
199603,0.0089,0.0027,0.0051,0.0039,0.026
199604,0.0062,0.0075,0.0037,0.0046,0.0117
199605,0.015,0.0178,-0.0028,0.0042,0.0209
199606,0.0022,-0.0063,0.0033,0.004,0.0129
199607,-0.0179,-0.0039,0.0097,0.0045,-0.02
199608,0.0226,-0.0069,-0.0149,0.0041,0.0263
199609,0.0117,-0.0267,0.0049,0.0044,0.0242
199610,0.0155,0.0101,-0.013,0.0042,0.0347
199611,0.0408,-0.0271,0.0101,0.0041,0.0137
199612,0.0201,-0.0012,0.0075,0.0046,0.0164
199701,-0.0035,0.0069,0.0201,0.0045,0.0078
199702,0.0068,0.0062,-0.0025,0.0039,0.0056
199703,0.0204,-0.0119,0.0109,0.0043,-0.0095
199704,-0.0075,-0.0142,0.0019,0.0043,0.0206
199705,0.0414,-0.0122,0.011,0.0049,0.0222
199706,0.0366,-0.0366,0.0104,0.0037,0.0092
199707,0.0312,-0.0585,0.0181,0.0043,0.0254
199708,-0.0529,0.0612,-0.0087,0.0041,-0.0223
199709,0.0874,-0.0401,0.0267,0.0044,0.0392
199710,-0.0488,0.0406,0.0089,0.0042,-0.0144
199711,0.0075,-0.029,-0.0049,0.0039,-0.0053
199712,0.0226,-0.0377,0.0195,0.0048,0.0292
199801,0.0316,-0.0137,0.0046,0.0043,0.0395
199802,0.0749,-0.0182,0.01,0.0039,0.0139
199803,0.0691,0.0109,0.0453,0.0039,0.0217
199804,0.0219,0.0154,-0.0056,0.0043,-0.0127
199805,0.0222,0.0214,0.0101,0.004,0.0098
199806,-0.005,-0.0319,-0.0188,0.0041,0.0236
199807,0.0153,-0.0368,0.015,0.004,0.0633
199808,-0.1208,0.0172,-0.0251,0.0043,-0.0187
199809,-0.0484,0.0119,-0.027,0.0046,-0.0514
199810,0.0659,-0.0596,0.0083,0.0032,0.0024
199811,0.0424,-0.0307,0.0072,0.0031,0.0294
199812,0.0288,-0.0253,-0.0189,0.0038,0.0484
199901,-0.0043,-0.0016,-0.0207,0.0035,0.0595
199902,-0.0219,0.027,-0.011,0.0035,-0.0192
199903,-3e-04,-0.0027,0.0138,0.0043,-0.079
199904,0.0295,0.0082,0.0187,0.0037,-0.0745
199905,-0.038,0.0448,0.0011,0.0034,0.0337
199906,0.0171,-4e-04,0.0052,0.004,0.0112
199907,0.0112,0.0336,0.0035,0.0038,0.0364
199908,0.0134,0.0392,-0.0109,0.0039,0.048
199909,-0.0032,0.0216,-0.018,0.0039,0.0162
199910,0.0172,-0.0111,-0.0381,0.0039,0.0568
199911,0.0276,0.0114,-0.0905,0.0036,0.1267
199912,0.0926,-0.0482,-0.0426,0.0044,0.0612
200001,-0.0712,0.0939,-0.0612,0.0041,0.0616
200002,0.0587,0.0173,-0.095,0.0043,0.0855
200003,0.0066,-0.0525,0.0323,0.0047,-0.1129
200004,-0.0558,-0.0542,0.058,0.0046,-0.0915
200005,-7e-04,-0.0012,0.0606,0.005,-0.0683
200006,0.0068,0,0.0321,0.004,-0.0052
200007,-0.0158,-0.0103,0.033,0.0048,-0.0103
200008,-0.0157,0.0087,-0.0038,0.005,0.0329
200009,-0.0499,0.02,0.0264,0.0051,-0.0409
200010,-0.027,-0.0696,0.0763,0.0056,-0.0479
200011,-0.0455,-0.0141,0.1116,0.0051,-0.0499
200012,0.0568,0.0042,0.0332,0.005,0.0087
200101,0.0039,0.0174,0.0069,0.0054,-0.0664
200102,-0.0869,0.0472,0.0942,0.0038,0.0767
200103,-0.0934,-0.0103,0.0583,0.0042,0.0401
200104,0.074,-0.0379,-0.0315,0.0039,-0.0407
200105,-0.0503,0.0264,0.0423,0.0032,0.0666
200106,-0.0365,-0.01,0.0621,0.0028,0.0945
200107,-0.007,-0.0221,0.0381,0.003,0.0152
200108,-0.0203,0.0204,0.0414,0.0031,0.0823
200109,-0.1156,-0.0525,0.0234,0.0028,0.0981
200110,0.0324,0.0179,-0.0329,0.0022,-0.0666
200111,0.0409,0.018,-0.011,0.0017,-0.0967
200112,0.0182,-0.0183,0.014,0.0015,0.0273
200201,-0.047,0.0294,0.0183,0.0014,0.0597
200202,0.0041,-0.0035,0.0174,0.0013,0.0594
200203,0.0508,-0.0041,0.0074,0.0013,-0.0254
200204,-0.0032,0.0292,0.0476,0.0015,0.06
200205,0.0043,0.0173,0.047,0.0014,0.0484
200206,-0.0248,0.0112,0.0242,0.0013,0.0809
200207,-0.1059,0.0176,0.0315,0.0015,0.0471
200208,0.0014,-0.0224,0.0211,0.0014,0.0217
200209,-0.1317,0.03,-0.019,0.0014,0.1365
200210,0.0858,-0.0673,-0.0084,0.0014,-0.0613
200211,0.0489,-0.0078,0.0216,0.0012,-0.0886
200212,-0.0276,0.0357,0.0324,0.0011,0.1097
200301,-0.0345,0.0208,0.0252,0.001,0.0204
200302,-0.0335,0.0033,0.0166,9e-04,0.062
200303,-0.0149,0.0082,-0.0051,0.001,0.0223
200304,0.1312,-0.021,0.0024,0.001,-0.1447
200305,0.0767,0.0271,0.0113,9e-04,-0.0239
200306,0.0117,0.02,0.0041,0.001,-0.0468
200307,0.0171,0.009,0.0388,7e-04,-0.0459
200308,0.0019,0.0311,1e-04,7e-04,-0.0235
200309,0.028,0.0271,7e-04,8e-04,0.0094
200310,0.062,-0.012,0.0366,7e-04,0.0559
200311,0.0449,0,0.0041,7e-04,-9e-04
200312,0.0732,-0.0201,0.0049,8e-04,-0.0069
200401,0.0247,0.0368,0.0239,7e-04,0.0369
200402,0.031,0.0106,0.0037,6e-04,0.0043
200403,-0.0332,0.0088,-0.0025,9e-04,-0.0239
200404,-0.0123,-0.0096,0.0086,8e-04,-0.0177
200405,0.0142,-0.0099,-0.0084,6e-04,-0.0019
200406,0.0199,0.0109,0.0098,8e-04,0.0208
200407,-0.0312,8e-04,0.0045,0.001,0.0036
200408,0.0037,-0.0046,0.0132,0.0011,0.0126
200409,0.0401,0.0022,0.0074,0.0011,0.0239
200410,0.0406,4e-04,0.0069,0.0011,0
200411,0.0686,0.0209,0.0173,0.0015,0.0089
200412,0.0424,0.0037,0.0072,0.0016,0.0087
200501,-0.0125,0.0356,0.0156,0.0016,0.0088
200502,0.0458,0.0077,0.0103,0.0016,0.0158
200503,-0.0257,-0.0017,0.0024,0.0021,0.0031
200504,-0.0259,0.0054,-0.0011,0.0021,0.0087
200505,-3e-04,-0.0167,0.0118,0.0024,0.0162
200506,0.0153,0.0095,0.0164,0.0023,0.0327
200507,0.0382,0.0033,0.0134,0.0024,0.0113
200508,0.0202,0.0213,-0.0011,0.003,0.0268
200509,0.0148,-0.0035,0.0012,0.0029,0.0293
200510,-0.0341,-0.0119,0.0041,0.0027,-0.0173
200511,0.0129,-0.0029,0.0056,0.0031,0.0136
200512,0.038,0.0061,0.0044,0.0032,0.0149
200601,0.0638,0.0224,0.0174,0.0035,0.0423
200602,0.0055,0.021,0.0145,0.0034,0.0075
200603,0.0399,0.0074,0.0171,0.0037,0.0228
200604,0.0525,0.0182,-0.0032,0.0036,0.0295
200605,-0.0364,-0.0095,-0.0055,0.0043,-0.0286
200606,-0.0021,-0.0161,-0.0051,0.004,-0.0122
200607,0.0101,-0.018,0.0161,0.004,0.0011
200608,0.027,-0.0027,0.0039,0.0042,-0.0016
200609,0.0069,8e-04,0.0033,0.0041,0.0121
200610,0.0382,9e-04,0.015,0.0041,0.0061
200611,0.0376,0.0258,0.0034,0.0042,0.0171
200612,0.0332,0.0097,0.0055,0.004,0.0282
200701,0.0061,0.0188,0.0077,0.0044,0.0093
200702,-0.0051,0.0124,-9e-04,0.0038,0.0124
200703,0.0371,0.0068,4e-04,0.0043,0.0198
200704,0.0554,-0.0026,0.0126,0.0044,0.0054
200705,0.0156,-0.0072,0.0056,0.0041,0.0121
200706,-0.0017,-0.0066,0.0041,0.004,-0.0059
200707,-0.0222,0.0181,-0.0036,0.004,0.0167
200708,-0.0208,-0.0316,-6e-04,0.0042,-0.0013
200709,0.0482,-0.0372,-0.0085,0.0032,0.0344
200710,0.0434,0.0042,-0.0092,0.0032,0.0393
200711,-0.0403,-0.0476,-0.0176,0.0034,0.0189
200712,-0.021,-0.0086,0.0122,0.0027,0.0211
200801,-0.1001,0.0038,-1e-04,0.0021,0.0043
200802,0.0196,0.0271,-0.0051,0.0013,0.0177
200803,0.0026,-0.0057,0.0237,0.0017,0.0022
200804,0.0441,-0.0256,-2e-04,0.0018,0.0015
200805,0.0085,0.0048,-0.0117,0.0018,0.044
200806,-0.0868,0.0168,-0.007,0.0017,0.0948
200807,-0.0383,-0.0215,0.0095,0.0015,-0.0222
200808,-0.0457,0.0011,-9e-04,0.0013,-0.0499
200809,-0.1507,-0.031,0.0092,0.0015,0.0377
200810,-0.2202,-0.0491,-0.0353,8e-04,0.1015
200811,-0.0718,-0.0099,-0.0363,3e-04,0.0239
200812,0.067,-0.0146,0.0121,0,-0.0074
200901,-0.1099,0.0493,-0.0405,0,0.0332
200902,-0.0996,0.0454,-0.0423,1e-04,0.045
200903,0.0694,-0.0253,0.0146,2e-04,-0.1031
200904,0.1367,0.0181,0.0666,1e-04,-0.2608
200905,0.1286,0.0126,-0.0124,0,-0.0771
200906,-0.0187,0.0155,-0.0119,1e-04,0.0246
200907,0.1018,-0.0396,0.0383,1e-04,-0.0158
200908,0.0565,0.0184,0.0755,1e-04,-0.0928
200909,0.0543,0.0166,0.0116,1e-04,-0.0279
200910,-0.0185,0.0164,-0.033,0,0.0371
200911,0.03,-0.0202,-0.0123,0,0.0188
200912,0.0094,-0.0182,-0.0126,1e-04,0.0021
201001,-0.0528,0.047,-0.0187,0,0.0054
201002,-0.021,-0.0072,-0.0177,0,0.0024
201003,0.0641,-0.0115,0.0429,1e-04,0.0518
201004,-0.0166,0.0318,-0.0028,1e-04,0.022
201005,-0.1205,-0.0019,-0.0361,1e-04,0.0096
201006,-0.0098,0.0014,-0.0225,1e-04,0.0165
201007,0.1188,-0.0204,0.0459,1e-04,-0.0186
201008,-0.0426,-0.0011,-0.0269,1e-04,0.038
201009,0.1156,0.0098,-0.0026,1e-04,0.0435
201010,0.0498,0.0049,7e-04,1e-04,0.0018
201011,-0.0803,0.0115,-0.0342,1e-04,0.0792
201012,0.0904,0.0226,0.0117,1e-04,0.0187
201101,0.0368,-0.0043,0.0547,1e-04,-0.0551
201102,0.0306,-0.0115,0.007,1e-04,-0.0017
