ISIN,fyear,BEME,OP,INV
ANN4327C1220,1990,0.6576,0.5865,0.01
ANN4327C1220,1991,0.589,0.5048,0.115
ANN4327C1220,1992,0.7228,0.5371,-0.0055
ANN4327C1220,1993,0.3773,0.5429,0.0101
ANN4327C1220,1994,0.416,0.6629,0.119
ANN4327C1220,1995,0.4676,0.7071,0.0317
ANN4327C1220,1996,0.3786,0.5739,0.0525
ANN4327C1220,1997,0.3949,0.5177,0.1253
ANN4327C1220,1998,0.4751,0.5058,0.1938
ANN4327C1220,1999,0.5884,0.46,0.1629
ANN4327C1220,2000,0.6383,0.4488,0.18
ANN4327C1220,2001,0.6871,0.3653,0.0852
ANN4327C1220,2002,0.7272,0.3573,-0.0574
ANN4327C1220,2003,0.5616,0.3218,0.0497
ANN4327C1220,2004,0.5602,0.3082,0.013
ANN4327C1220,2005,0.6151,0.2831,0.2338
ANN4327C1220,2006,0.4964,0.2856,0.0666
ANN4327C1220,2007,0.6337,0.2559,0.0496
ANN4327C1220,2008,1.102,0.2486,-0.1763
ANN4327C1220,2009,0.802,0.209,-0.1462
ANN4327C1220,2010,0.5966,0.2898,0.0693
ANN4327C1220,2011,0.795,0.2544,0.0256
ANN4327C1220,2012,0.6859,0.3446,-0.0452
ANN4327C1220,2013,0.6329,0.3331,-0.1199
ANN4327C1220,2014,0.6202,0.3418,0.1905
ANN4327C1220,2015,0.6751,0.3936,0.0536
ANN4327C1220,2016,0.5298,0.3778,0.2543
ANN4327C1220,2017,0.3989,0.388,0.1109
ANN4327C1220,2018,0.5846,0.3682,0.0342
ANN4327C1220,2019,0.744,0.383,0.0735
BE0003005957,1990,1.1744,0.2538,-0.112
BE0003005957,1991,1.3664,0.2636,-0.0816
BE0003005957,1992,1.3924,0.2489,0.1095
BE0003005957,1993,0.983,0.2063,0.0882
BE0003005957,1994,1.1215,0.22,0.0274
BE0003005957,1995,0.8936,0.2109,0.0432
BE0003005957,1996,0.8083,0.2549,0.0238
BE0003005957,1997,0.6269,-0.094,0.015
BE0003005957,1998,0.826,0.0251,0.0814
BE0003005957,1999,0.9486,-0.0088,0.0224
BE0003008019,1990,2.4649,0.2468,-0.0412
BE0003008019,1991,7.8011,0.0208,0.3332
BE0003008019,1992,9.2646,0.0266,-0.0276
BE0003008019,1993,4.9562,0.0213,0.1529
BE0003008019,1994,4.9255,0.021,-0.0732
BE0003008019,1995,5.8383,0.0276,-0.0099
BE0003008019,1996,6.4676,0.0376,0.0582
BE0003008019,1997,8.9835,0.0311,0.0517
BE0003008019,1998,4.8928,0.1133,-0.0339
BE0003008019,1999,8.2231,0.0834,0.8196
BE0003008019,2000,9.6418,0.0709,-0.196
BE0003008019,2001,8.3712,0.0579,-0.1455
BE0003008019,2002,4.0397,0.0727,0.2052
BE0003008019,2003,3.4817,0.0388,0.276
BE0003008019,2004,2.9896,0.0459,0.2381
BE0003008019,2005,4.1364,0.1272,0.1675
BE0003008019,2006,3.8539,0.0682,0.1933
BE0003008019,2007,4.7591,0.0607,0.3573
BE0003008019,2008,7.6545,0.0857,0.3636
BE0003008019,2009,7.4258,0.1986,-0.3377
BE0003008019,2010,8.7119,0.0747,-0.2638
BE0003008019,2011,13.2415,0.0725,0.7098
BE0003008019,2012,14.9331,0.1002,-0.1406
BE0003008019,2013,4.7048,0.1785,-0.2911
